Tên;Địa chỉ;Quận huyện;Phường xã;Vĩ độ;Kinh độ;Chiều cao;Kết cấu;Cấp công trình;Chất lượng;Sức chứa;Hình ảnh
Nhà văn hóa An Lưu;tổ 46 An Lưu;Ngũ Hành Sơn;hòa Quý;15.967343985795445;108.22080938942649;2;"Bê tông cốt
 thép";;Đảm bảo;60;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-nvhanluu.jpg
Nhà Văn hóa Chi bộ 6;đường Thổ Sơn 1;Ngũ Hành Sơn;hòa Hải;16.006275298314453;108.25734132090466;1 tầng;Bê tông cốt thép;I;Không ngập nước khi có lũ;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-chibo6.jpg
Nhà Văn hóa Đa Mặn 9;đường Nguyễn Đình Trân;Ngũ Hành Sơn;Khuê Mỹ;16.01889919009751;108.2560844540131;1;"Bê tông cốt
 thép";;Đảm bảo;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-nvhdaman9.jpg
Nhà Văn hóa Mỹ Đa Tây 2;đường Mỹ Đa Tây 14;Ngũ Hành Sơn;Khuê Mỹ;16.034633668647725;108.24193070592266;1;"Bê tông cốt
 thép";;Đảm bảo;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-nvhmydatay.jpg
Nhà Phòng, chống thiên tai phường Mân Thái;đường Hồ Thấu;Sơn Trà;Mân Thái;16.08321087595972;108.24633066608318;2 tầng;BTCT;III;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-duonghothau.jpg
Trường THCS Huỳnh Bá Chánh;172 Nguyễn Duy Trinh;Ngũ Hành Sơn;hòa Hải;15.994784317745275;108.26379530229192;2 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;600;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-172nguyenduytrinh.jpg
Trường TH Mai Đăng Chơn;215 Nguyễn Duy Trinh;Ngũ Hành Sơn;hòa Hải;15.993518410936376;108.26564519629397;2 tầng;Bê tông cốt thép;III;Không ngập nước khi có lũ;580;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-215nguyenduytrinh.jpg
Trường Mầm non Hòa Phước điểm trường Quá Giáng;Thôn Quá Giáng;Hòa Vang;Hòa Phước;15.963305002078414;108.20979603566229;2 tầng;BTCT;;Đảm bảo;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-mnhoaphuocqg.jpg
Nhà Văn Hoá Thôn Phước Hưng;đường Nối;Hòa Vang;Hòa Nhơn;16.019194319170758;108.11394316923223;;;;;;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-nvhphuochung.jpg
Chùa Pháp Lâm;574 Ông Ích Khiêm;Hải Châu;Nam Dương;16.062514943426713;108.21588727757975;2 khối 2 tầng + 1 khối 3 tầng;Bê tông cốt thép, mái tôn;2;Tốt;200 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_574_ong ich khiem
Nhà văn hóa Tân Thành ;K356/47 Hoàng Diệu;Hải Châu;Bình Thuận;16.05649994062083;108.21565446981009;1 tầng ;Bê tông cốt thép ;1;Tốt ;50 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_356.47_ong ich khiem
Trường mầm non Cẩm Nhung;182 Ông Ích Khiêm;Thanh Khê;Tân Chính;16.071568805837163;108.2130662689953;3 tầng ;bê tông cốt thép, tường gạch xây;3;Tốt ;200 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_182_ong ich khiem
Trường trung học cơ sở Điện Biên Phủ;97 Thái thị bôi;Thanh Khê;Chính Gián;16.068231143461777;108.19899818869081;2 tầng;Móng, cột dầm, sàn, mái BTCT, tường;3;Tốt ;400 người;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_97_thaithiboi
Trường Mầm non Hoa Ngọc Lan;69 Lê Trọng Tấn;Cẩm Lệ;Hòa Phát;16.0363203507706;108.185224621082;"02 tầng; 10m";"Tường xây gạch, trụ BTCT, mái tôn
+ mái BTCT";3;Tốt;200-300;https://congdulieu.vn/cdldnfiles/nhatrubao/th_69_letrongtan.jpg
Trường Tiểu học Nguyễn Như Hạnh;406 Trường Chinh;Cẩm Lệ;Hòa An;16.0479295900237;108.183226108226;"03 tầng; 12m";"Tường xây gạch, trụ BTCT, mái tôn
+ mái BTCT";3;Tốt;500-600;https://congdulieu.vn/cdldnfiles/nhatrubao/th_406_truongchinh.jpg
Trường Mầm non Hoa Ngọc Lan cs3;1092 Trường Chinh;Cẩm Lệ;Hòa Phát;16.0235059932949;108.191840118385;"02 tầng; 10m";"Tường xây gạch, trụ BTCT, mái tôn
+ mái BTCT";3;Tốt;200-300;https://congdulieu.vn/cdldnfiles/nhatrubao/th_1092_truongchinh.jpg
Nhà sinh hoạt cộng đồng, khu dân cư số 14;658 Trường Chinh;Cẩm Lệ;Hòa Phát;16.0401460155844;108.185841981321;1 tầng ;Bê tông cốt thép ;1;Tốt ;50 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_658_truongchinh.jpg
Nhà sinh hoạt cộng đồng, khu dân cư số 6;978 Trường Chinh;Cẩm Lệ;Hòa Phát;16.0294129885733;108.189422981813;1 tầng ;Bê tông cốt thép ;1;Tốt ;50 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_978_truongchinh.jpg
UBND Phường Chính Gián;92 Điện Biên Phủ;Thanh Khê;Chính Gián;16.06595630812407;108.20076765353066;3 tầng ;Bê tông cốt thép, tường gạch xây;3;tốt ;150 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/cqnnx_92_Điện Biên Phủ 
Trung tâm VHTT và học tập cộng đồng Phường Chính Gián;352 Điện Biên Phủ;Thanh Khê;Chính Gián;16.066073002293700;108.19249696098200;;Bê tông cốt thép;4;tốt ;100 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_352_Điện Biên Phủ 
Trường TH Ngô Mây;306 Nguyễn Công Trứ;Sơn Trà;Phước Mỹ;16.0646235474209;108.242008204487;2 tầng;Bê tông cốt thép ;3;Tốt ;100 người;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_306_nguyencongtru.jpg
Nhà sinh hoạt khu dân cư Mỹ Thạnh;260 Hồ Nghinh;Sơn Trà;Phước Mỹ;16.0643279738724;108.243192974478;1 tầng;Bê tông cốt thép ;1;Tốt ;50 người ;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_260_honghinh.jpg
Trường Tiểu học Trần Quốc Toản;134 Ngô Quyền;Sơn Trà;Thọ Quang;16.0955591416177;108.244616097137;2 tầng;Bê tông cốt thép ;2;Tốt ;300 người;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_134_ngoquyen.jpg
Trường Tiểu học Tiểu La;535 Trần Nhân Tông;Sơn Trà;An Hải Bắc;16.0848925520621;108.235136717905;2 tầng;Bê tông cốt thép ;3;Tốt ;500 người;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_535_ngoquyen.jpg
Trường chính trị thành phố;34 Hồ Nghinh;Sơn Trà;Phước Mỹ;16.07888891715378;108.24254262668317;2 tầng;Bê tông cốt thép ;2;Tốt ;500 người;https://congdulieu.vn/cdldnfiles/nhatrubao/ntb_34_honghinh.jpg
